Date,Name,Year,Letterboxd URI
2022-05-28,Nightmare Alley,2021,https://boxd.it/m0HC
2022-05-28,The Card Counter,2021,https://boxd.it/nTH0
2022-05-28,Mass,2021,https://boxd.it/eYAA
2022-05-28,Pig,2021,https://boxd.it/nzoW
2022-05-28,Red Rocket,2021,https://boxd.it/sGpi
2022-05-28,Petite Maman,2021,https://boxd.it/s6je
2022-05-28,Flee,2021,https://boxd.it/ponM
2022-05-28,Titane,2021,https://boxd.it/nlQC
2022-05-28,West Side Story,2021,https://boxd.it/iwt0
2022-05-28,Bram Stoker's Dracula,1992,https://boxd.it/223a
2022-05-29,The Reader,2008,https://boxd.it/20Dq
2022-05-29,Stars at Noon,2022,https://boxd.it/mfNU
2022-05-29,Holy Spider,2022,https://boxd.it/xBn2
2022-05-30,Michael Clayton,2007,https://boxd.it/2466
2022-05-30,Suspiria,2018,https://boxd.it/cioI
2022-05-30,Hearts of Darkness: A Filmmaker's Apocalypse,1991,https://boxd.it/24ai
2022-06-03,Amores Perros,2000,https://boxd.it/2bfu
2022-06-03,The Tsugua Diaries,2021,https://boxd.it/vBUQ
2022-06-03,Hannah,2017,https://boxd.it/gLYI
2022-06-03,Great Freedom,2021,https://boxd.it/vwpe
2022-06-06,Pacifiction,2022,https://boxd.it/pOfa
2022-06-06,Butterfly Vision,2022,https://boxd.it/Alzs
2022-06-06,Close,2022,https://boxd.it/y4qa
2022-06-06,Showing Up,2022,https://boxd.it/tJ1q
2022-06-06,First Cow,2019,https://boxd.it/krga
2022-06-07,Loving Vincent: The Impossible Dream,2019,https://boxd.it/lBPQ
2022-06-11,A Woman Under the Influence,1974,https://boxd.it/1myg
2022-06-11,Taking the Horse to Eat Jalebis,2018,https://boxd.it/kp1i
2022-09-27,Waitress,2007,https://boxd.it/1Vt6
2022-10-18,Escape from New York,1981,https://boxd.it/294k
2022-12-17,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",1975,https://boxd.it/T18
2023-01-12,Terrifier,2016,https://boxd.it/eRzg
2023-01-12,Terrifier 2,2022,https://boxd.it/oI10
2023-01-15,A Ghost Story,2017,https://boxd.it/fb0K
2023-03-19,Deliverance,1972,https://boxd.it/1VGk
2023-03-19,Wolfwalkers,2020,https://boxd.it/fGrC
2023-03-19,A River Runs Through It,1992,https://boxd.it/2aFm
2023-03-19,Seconds,1966,https://boxd.it/1Dbe
2023-03-19,The Legend of Bagger Vance,2000,https://boxd.it/23zQ
2023-03-19,Christmas with You,2022,https://boxd.it/zkew
2023-03-19,You've Got Mail,1998,https://boxd.it/1Yye
2023-03-19,Black Dynamite,2009,https://boxd.it/1wX6
2023-03-20,The Handmaiden,2016,https://boxd.it/948A
